Company Name;Ticker;ISIN
Barclays;BARC;GB0031348658
Apple;AAPL;US0378331005
ExxonMobil;XOM;US30231G1022
Johnson & Johnson;JNJ;US4781601046
Microsoft;MSFT;US5949181045
Coca-Cola;KO;US1912161007
Tencent;TCEHY;KYG875721634
DEUTSCHE BANK;DBK;DE0005140008
Siemens;SIE;DE0007236101
Unilever;ULVR;GB00B10RZP78
MedHealth;MHC;CA5850901037
Bank of America;BAC;US0605051046
Alphabet;GOOGL;US02079K1079
Oxydental Petroleum;OXY;US6745991058
Pepsico;PEP;US7134481081
Procter & Gamble;PG;US7427181091
Tesla;TSLA;US88160R1014
Walmart;WMT;US9311421039